id,date,brand,p.1,f.1,d.1,p.2,f.2,d.2,p.3,f.3,d.3,p.4,f.4,d.4,p.5,f.5,d.5
16,9822,2,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.529999733,0,0
16,9829,2,0.5899996758,0,0,0.4899997711,1,0,0.5899996758,0,0,0.4899997711,1,0,0.5499997139,0,0
16,9840,2,0.5899996758,0,0,0.5799999237,1,0,0.5899996758,0,0,0.5799999237,0,0,0.5499997139,0,0
16,9843,1,0.5799999237,0,0,0.5799999237,0,0,0.5899996758,0,0,0.5799999237,1,0,0.5499997139,0,0
16,9850,1,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5499997139,0,0
16,9866,2,0.6899995804,0,0,0.4899997711,0,0,0.6899995804,0,0,0.4899997711,0,0,0.5499997139,0,0
16,9878,2,0.6899995804,0,0,0.5899996758,0,0,0.6899995804,0,0,0.4899997711,0,0,0.4899997711,1,0
16,9885,2,0.6899995804,0,0,0.5899996758,0,0,0.6899995804,0,0,0.4899997711,0,0,0.5499997139,0,0
16,9899,1,0.4899997711,1,0,0.5899996758,0,0,0.4899997711,1,0,0.4899997711,0,0,0.5499997139,0,0
16,9905,1,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.4899997711,0,0,0.5499997139,0,0
16,9917,2,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5499997139,0,0
16,9920,2,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5499997139,0,0
16,9927,1,0.4899997711,1,0,0.5899996758,0,0,0.4899997711,1,0,0.5899996758,0,0,0.5499997139,0,0
16,9934,1,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5499997139,0,0
16,9934,3,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5499997139,0,0
16,9941,2,0.5899996758,0,0,0.4799997807,1,0,0.5899996758,0,0,0.4799997807,0,0,0.5499997139,0,0
16,9948,1,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5499997139,0,0
16,9964,2,0.5899996758,0,0,0.5799999237,0,0,0.5899996758,0,0,0.5799999237,0,0,0.5499997139,0,0
16,9968,2,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5499997139,0,0
16,9976,1,0.5799999237,1,0,0.5899996758,0,0,0.5799999237,1,0,0.5899996758,0,0,0.5499997139,0,0
16,9982,2,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5499997139,0,0
16,9990,2,0.5899996758,0,0,0.4899997711,1,0,0.5899996758,0,0,0.4899997711,1,0,0.5499997139,0,0
16,9997,2,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5499997139,0,0
16,10004,2,0.5899996758,0,0,0.5799999237,1,0,0.5899996758,0,0,0.5799999237,0,0,0.5499997139,0,0
16,10011,1,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5499997139,0,0
16,10018,1,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5499997139,0,0
17,9290,1,0.5599999428,1,0,0.7899999619,0,0,0.5599999428,1,0,0.7899999619,0,0,0.7299995422,0,0
17,9751,2,0.6799998283,0,0,0.5499997139,1,0,0.6799998283,0,0,0.5499997139,1,0,0.5899996758,0,0
17,9843,1,0.5899996758,0,0,0.5799999237,1,0,0.5899996758,0,0,0.5799999237,1,0,0.5499997139,0,0
17,9899,1,0.4899997711,1,0,0.5899996758,0,0,0.4899997711,1,0,0.5799999237,0,0,0.5499997139,0,0
18,9431,2,0.7899999619,0,0,0.5799999237,0,0,0.7899999619,0,0,0.5799999237,0,0,0.6499996185,0,0
18,9690,2,0.6799998283,0,0,0.5399999619,0,0,0.6799998283,0,0,0.5399999619,0,0,0.6499996185,0,0
18,9694,2,0.6799998283,0,0,0.6799998283,0,0,0.6799998283,0,0,0.6799998283,0,0,0.6499996185,0,0
18,9926,3,0.4899997711,1,0,0.5899996758,0,0,0.4899997711,1,0,0.5899996758,0,0,0.5499997139,0,0
18,9967,3,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5799999237,0,0,0.5499997139,0,0
19,9173,2,0.7899999619,0,0,0.7899999619,0,0,0.7899999619,0,0,0.7899999619,0,0,0.7299995422,0,0
19,9180,3,0.6799998283,0,0,0.7899999619,0,0,0.6799998283,0,0,0.7899999619,0,0,0.7299995422,0,0
19,9348,3,0.5599999428,0,0,0.7299995422,0,0,0.5599999428,0,0,0.7299995422,0,0,0.7299995422,0,0
19,9362,4,0.6899995804,0,0,0.5399999619,0,0,0.6899995804,0,0,0.5399999619,0,0,0.7299995422,0,0
19,9370,4,0.6899995804,0,0,0.6899995804,0,0,0.6899995804,0,0,0.6899995804,0,0,0.7299995422,0,0
19,9510,4,0.6899995804,0,0,0.6899995804,0,0,0.6899995804,0,0,0.6899995804,0,0,0.6499996185,0,0
19,9955,3,0.4899997711,1,0,0.5899996758,0,0,0.4899997711,1,0,0.5899996758,0,0,0.5499997139,0,0
20,9359,2,0.6899995804,0,0,0.5399999619,1,0,0.6899995804,0,0,0.5399999619,1,0,0.7299995422,0,0
20,9664,2,0.6799998283,0,0,0.5799999237,0,0,0.6799998283,0,0,0.5799999237,0,0,0.6499996185,0,0
21,9472,1,0.6799998283,0,0,0.6799998283,0,0,0.6799998283,0,0,0.6799998283,0,0,0.6499996185,0,0
21,9966,2,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5499997139,0,0
22,9351,3,0.6899995804,0,0,0.7299995422,0,0,0.6899995804,0,0,0.7299995422,0,0,0.7299995422,0,0
